"Sign Up", 注册
"Sign In", 登录
"Sign Out", 登出
"Problems", 题库
"Contests", 比赛
"Ranklist", 排名
"Status", 状态
"Username", 用户名
"Password", 密码
"Invalid username or password.", 无效的用户名或密码
"Something wrong.", 出错了…
"Sign up successfully.", 注册成功
"Sign in successfully.", 登录成功
"Sign out successfully.", 登出成功
"Username exists already.", 用户名已经存在
"Mark", 状态
"Problem ID", 题号
"Title", 标题
"Ratio", 通过率
"AC", 通过人数
"All", 提交人数
":", ：
"Time Limit", 时间限制
"Time Limit:", 时间限制：
"Memory Limit", 内存限制
"Memory Limit:", 内存限制：
"All Problems", 所有题目
"Submit Code", 提交代码
"Problem Status", 题目状态
"Modify Information", 修改信息
"Nickname", 昵称
"User ID", 用户名
"Admin", 管理员
"Cpp11", C++11
"Cpp", C++
